,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
19072,41797,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/jackalopes-jacksploitation-10-i_wanna_beer_sandwich-59-88.mp3,10,(I wanna) beer sandwich,Jackalopes,Jacksploitation,http://www.magnatune.com/artists/albums/jackalopes-jacksploit/,59,88,http://he3.magnatune.com/all/10-(I%20wanna)%20beer%20sandwich-Jackalopes.mp3
17487,38338,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-09-a_question_tobias_hume-59-88.mp3,9,-A Question (Tobias Hume)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,59,88,http://he3.magnatune.com/all/09--A%20Question%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3
15668,34335,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-08-all_i_got-30-59.mp3,8,-All I Got-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,30,59,http://he3.magnatune.com/all/08--All%20I%20Got--Rocket%20City%20Riot.mp3
11610,25542,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-06-annes_decision-59-88.mp3,6,-Anne's Decision-,Philharmonia Baroque Orchestra,Jake Heggie - To Hell and Back,http://www.magnatune.com/artists/albums/pb-heggie/,59,88,http://he3.magnatune.com/all/06--Anne's%20Decision--Philharmonia%20Baroque%20Orchestra.mp3
17489,38344,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/the_headroom_project-jetuton_andawai-09-anu_de_dilaho-88-117.mp3,9,-Anu de Dilaho-,The Headroom Project,Jetuton Andawai,http://www.magnatune.com/artists/albums/headroom-jetuton/,88,117,http://he3.magnatune.com/all/09--Anu%20de%20Dilaho--The%20Headroom%20Project.mp3
2689,5850,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-02-arabesque_martin_marais-30-59.mp3,2,-Arabesque (Martin Marais)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,30,59,http://he3.magnatune.com/all/02--Arabesque%20(Martin%20Marais)--Ralph%20Meulenbroeks.mp3
17491,38352,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/american_bach_soloists-j_s__bach_solo_cantatas-09-bwv55__i_aria-88-117.mp3,9,-BWV55 - I Aria-,American Bach Soloists,J.S. Bach Solo Cantatas,http://www.magnatune.com/artists/albums/abs-solocantatas/,88,117,http://he3.magnatune.com/all/09--BWV55%20-%20I%20Aria--ABS.mp3
19075,41802,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/american_bach_soloists-j_s__bach_solo_cantatas-10-bwv55__ii_recitative-30-59.mp3,10,-BWV55 - II Recitative-,American Bach Soloists,J.S. Bach Solo Cantatas,http://www.magnatune.com/artists/albums/abs-solocantatas/,30,59,http://he3.magnatune.com/all/10--BWV55%20-%20II%20Recitative--ABS.mp3
7411,16219,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/american_bach_soloists-j_s__bach_solo_cantatas-04-bwv82__i_aria-59-88.mp3,4,-BWV82 - I Aria-,American Bach Soloists,J.S. Bach Solo Cantatas,http://www.magnatune.com/artists/albums/abs-solocantatas/,59,88,http://he3.magnatune.com/all/04--BWV82%20-%20I%20Aria--ABS.mp3
11625,25564,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/american_bach_soloists-j_s__bach_solo_cantatas-06-bwv82__iii_aria-30-59.mp3,6,-BWV82 - III Aria-,American Bach Soloists,J.S. Bach Solo Cantatas,http://www.magnatune.com/artists/albums/abs-solocantatas/,30,59,http://he3.magnatune.com/all/06--BWV82%20-%20III%20Aria--ABS.mp3
15670,34341,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/american_bach_soloists-j_s__bach_solo_cantatas-08-bwv82__v_aria-59-88.mp3,8,-BWV82 - V Aria-,American Bach Soloists,J.S. Bach Solo Cantatas,http://www.magnatune.com/artists/albums/abs-solocantatas/,59,88,http://he3.magnatune.com/all/08--BWV82%20-%20V%20Aria--ABS.mp3
5153,11247,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-03-believe_in_me-59-88.mp3,3,-Believe In Me-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,59,88,http://he3.magnatune.com/all/03--Believe%20In%20Me--Rocket%20City%20Riot.mp3
15675,34347,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/the_headroom_project-jetuton_andawai-08-copeuse_concon-30-59.mp3,8,-Copeuse Concon-,The Headroom Project,Jetuton Andawai,http://www.magnatune.com/artists/albums/headroom-jetuton/,30,59,http://he3.magnatune.com/all/08--Copeuse%20Concon--The%20Headroom%20Project.mp3
15681,34359,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-08-cors_de_chasse_in_d_major_louis_de_caix_dhervelois-88-117.mp3,8,-Cors de chasse in D major (Louis de Caix d'Hervelois)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,88,117,http://he3.magnatune.com/all/08--Cors%20de%20chasse%20in%20D%20major%20(Louis%20de%20Caix%20d'Hervelois)--Ralph%20Meulenbroeks.mp3
17495,38362,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-09-die_today-88-117.mp3,9,-Die Today-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,88,117,http://he3.magnatune.com/all/09--Die%20Today--Rocket%20City%20Riot.mp3
7417,16232,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-04-from_this_day-30-59.mp3,4,-From This Day-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,30,59,http://he3.magnatune.com/all/04--From%20This%20Day--Rocket%20City%20Riot.mp3
7421,16242,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/american_bach_soloists-j_s__bach__cantatas_volume_v-04-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_iv_aria__mein_seelenschatz_ist_gottes_wort-88-117.mp3,4,-Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ IV Aria - Mein Seelenschatz ist Gottes Wort-,American Bach Soloists,J.S. Bach - Cantatas Volume V,http://www.magnatune.com/artists/albums/abs-cantatasfive/,88,117,http://he3.magnatune.com/all/04--Gleichwie%20der%20Regen%20und%20Schnee%20vom%20Himmel%20fallt%20BWV%2018_%20IV%20Aria%20-%20Mein%20Seelenschatz%20ist%20Gottes%20Wort--ABS.mp3
2699,5867,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/the_headroom_project-jetuton_andawai-02-hejm-30-59.mp3,2,-Hejm-,The Headroom Project,Jetuton Andawai,http://www.magnatune.com/artists/albums/headroom-jetuton/,30,59,http://he3.magnatune.com/all/02--Hejm--The%20Headroom%20Project.mp3
7423,16246,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/the_headroom_project-jetuton_andawai-04-industrial_blues-30-59.mp3,4,-Industrial Blues-,The Headroom Project,Jetuton Andawai,http://www.magnatune.com/artists/albums/headroom-jetuton/,30,59,http://he3.magnatune.com/all/04--Industrial%20Blues--The%20Headroom%20Project.mp3
11641,25598,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-06-inside_my_head-30-59.mp3,6,-Inside My Head-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,30,59,http://he3.magnatune.com/all/06--Inside%20My%20Head--Rocket%20City%20Riot.mp3
9535,20914,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-05-kleine_geistliche_konzerte_swv_310_ich_liege_und_schlafe-30-59.mp3,5,-Kleine Geistliche Konzerte SWV 310_ Ich liege und schlafe-,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,30,59,http://he3.magnatune.com/all/05--Kleine%20Geistliche%20Konzerte%20SWV%20310_%20Ich%20liege%20und%20schlafe--ABS.mp3
19080,41814,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-10-lecho_du_danube_adagio_johannes_schenck-59-88.mp3,10,-L'Echo du Danube_ Adagio (Johannes Schenck)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,59,88,http://he3.magnatune.com/all/10--L'Echo%20du%20Danube_%20Adagio%20(Johannes%20Schenck)--Ralph%20Meulenbroeks.mp3
23608,52334,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-15-lecho_du_danube_aria_johannes_schenck-30-59.mp3,15,-L'Echo du Danube_ Aria (Johannes Schenck)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,30,59,http://he3.magnatune.com/all/15--L'Echo%20du%20Danube_%20Aria%20(Johannes%20Schenck)--Ralph%20Meulenbroeks.mp3
21581,47428,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-12-lecho_du_danube_gavotta_johannes_schenck-30-59.mp3,12,-L'Echo du Danube_ Gavotta (Johannes Schenck)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,30,59,http://he3.magnatune.com/all/12--L'Echo%20du%20Danube_%20Gavotta%20(Johannes%20Schenck)--Ralph%20Meulenbroeks.mp3
23122,51056,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-14-lecho_du_danube_giga_vivace_johannes_schenck-30-59.mp3,14,-L'Echo du Danube_ Giga vivace (Johannes Schenck)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,30,59,http://he3.magnatune.com/all/14--L'Echo%20du%20Danube_%20Giga%20vivace%20(Johannes%20Schenck)--Ralph%20Meulenbroeks.mp3
5189,11305,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-03-lesson_1_in_g_major_minuet_and_variations_james_nares-88-117.mp3,3,-Lesson 1 in G Major_ Minuet and Variations (James Nares)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,88,117,http://he3.magnatune.com/all/03--Lesson%201%20in%20G%20Major_%20Minuet%20and%20Variations%20(James%20Nares)--Steven%20Devine.mp3
2708,5881,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-02-musicalische_exequien_swv_280_teil_ii_motette_herr_wenn_ich_nur_dich_habe-59-88.mp3,2,-Musicalische Exequien SWV 280 Teil II_ Motette Herr wenn ich nur dich habe-,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,59,88,http://he3.magnatune.com/all/02--Musicalische%20Exequien%20SWV%20280%20Teil%20II_%20Motette%20Herr%20wenn%20ich%20nur%20dich%20habe--ABS.mp3
5193,11314,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-03-musicalische_exequien_swv_281_teil_iii_canticum_simeonis-59-88.mp3,3,-Musicalische Exequien SWV 281 Teil III_ Canticum Simeonis-,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,59,88,http://he3.magnatune.com/all/03--Musicalische%20Exequien%20SWV%20281%20Teil%20III_%20Canticum%20Simeonis--ABS.mp3
24333,54232,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-17-now_i_come_tobias_hume-30-59.mp3,17,-Now I come (Tobias Hume)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,30,59,http://he3.magnatune.com/all/17--Now%20I%20come%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3
2711,5885,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/lvx_nova-lvx_nova-02-slove-30-59.mp3,2,-S-Love-,LVX Nova,LVX Nova,http://www.magnatune.com/artists/albums/lvxnova-lvxnova/,30,59,http://he3.magnatune.com/all/02--S-Love--LVX%20Nova.mp3
2718,5903,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-02-see_it_through-117-146.mp3,2,-See It Through-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,117,146,http://he3.magnatune.com/all/02--See%20It%20Through--Rocket%20City%20Riot.mp3
17499,38370,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-09-sonata_no_1_in_f_major_andante_thomas_arne-59-88.mp3,9,-Sonata No 1 in F Major_ Andante (Thomas Arne)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,59,88,http://he3.magnatune.com/all/09--Sonata%20No%201%20in%20F%20Major_%20Andante%20(Thomas%20Arne)--Steven%20Devine.mp3
24047,53428,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-16-sonata_no_2_in_a_major_adagio_joseph_gibbs-30-59.mp3,16,-Sonata No 2 in A Major_ Adagio (Joseph Gibbs)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,30,59,http://he3.magnatune.com/all/16--Sonata%20No%202%20in%20A%20Major_%20Adagio%20(Joseph%20Gibbs)--Steven%20Devine.mp3
24340,54245,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-17-sonata_no_2_in_a_major_allegro_assai_joseph_gibbs-88-117.mp3,17,-Sonata No 2 in A Major_ Allegro Assai (Joseph Gibbs)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,88,117,http://he3.magnatune.com/all/17--Sonata%20No%202%20in%20A%20Major_%20Allegro%20Assai%20(Joseph%20Gibbs)--Steven%20Devine.mp3
24605,54995,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-18-sonata_no_2_in_a_major_grave_e_piano_joseph_gibbs-30-59.mp3,18,-Sonata No 2 in A Major_ Grave e piano (Joseph Gibbs)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,30,59,http://he3.magnatune.com/all/18--Sonata%20No%202%20in%20A%20Major_%20Grave%20e%20piano%20(Joseph%20Gibbs)--Steven%20Devine.mp3
24791,55555,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-19-sonata_no_2_in_a_major_minuet_joseph_gibbs-59-88.mp3,19,-Sonata No 2 in A Major_ Minuet (Joseph Gibbs)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,59,88,http://he3.magnatune.com/all/19--Sonata%20No%202%20in%20A%20Major_%20Minuet%20(Joseph%20Gibbs)--Steven%20Devine.mp3
15699,34389,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-08-sonata_no_5_in_g_major_minuet_thomas_gladwin-59-88.mp3,8,-Sonata No 5 in G Major Minuet (Thomas Gladwin)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,59,88,http://he3.magnatune.com/all/08--Sonata%20No%205%20in%20G%20Major%20Minuet%20(Thomas%20Gladwin)--Steven%20Devine.mp3
13731,30113,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-07-sonata_no_5_in_g_major_presto_thomas_gladwin-30-59.mp3,7,-Sonata No 5 in G Major_ Presto (Thomas Gladwin)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,30,59,http://he3.magnatune.com/all/07--Sonata%20No%205%20in%20G%20Major_%20Presto%20(Thomas%20Gladwin)--Steven%20Devine.mp3
11661,25631,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-06-sonata_op_5_no_6_in_c_minor_allegretto_johann_christian_bach-117-146.mp3,6,-Sonata Op 5 No 6 in C Minor_ Allegretto (Johann Christian Bach)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,117,146,http://he3.magnatune.com/all/06--Sonata%20Op%205%20No%206%20in%20C%20Minor_%20Allegretto%20(Johann%20Christian%20Bach)--Steven%20Devine.mp3
7445,16280,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-04-sonata_in_d_minor_adagio_karl_friedrich_abel-30-59.mp3,4,-Sonata in d minor_ Adagio (Karl Friedrich Abel)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,30,59,http://he3.magnatune.com/all/04--Sonata%20in%20d%20minor_%20Adagio%20(Karl%20Friedrich%20Abel)--Ralph%20Meulenbroeks.mp3
5198,11322,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-03-sonata_in_d_minor_allegro_karl_friedrich_abel-30-59.mp3,3,-Sonata in d minor_ Allegro (Karl Friedrich Abel)-,Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,30,59,http://he3.magnatune.com/all/03--Sonata%20in%20d%20minor_%20Allegro%20(Karl%20Friedrich%20Abel)--Ralph%20Meulenbroeks.mp3
25343,57236,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-23-suite_no_5_in_e_major_air_and_variations_george_frederick_handel-88-117.mp3,23,-Suite No 5 in E Major_ Air and Variations (George Frederick Handel)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,88,117,http://he3.magnatune.com/all/23--Suite%20No%205%20in%20E%20Major_%20Air%20and%20Variations%20(George%20Frederick%20Handel)--Steven%20Devine.mp3
25112,56528,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-21-suite_no_5_in_e_major_allemande_george_frederick_handel-30-59.mp3,21,-Suite No 5 in E Major_ Allemande (George Frederick Handel)-,Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,30,59,http://he3.magnatune.com/all/21--Suite%20No%205%20in%20E%20Major_%20Allemande%20(George%20Frederick%20Handel)--Steven%20Devine.mp3
9555,20953,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-05-the_garden-30-59.mp3,5,-The Garden-,Philharmonia Baroque Orchestra,Jake Heggie - To Hell and Back,http://www.magnatune.com/artists/albums/pb-heggie/,30,59,http://he3.magnatune.com/all/05--The%20Garden--Philharmonia%20Baroque%20Orchestra.mp3
11664,25636,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/american_bach_soloists-j_s__bach__cantatas_volume_v-06-weinen_klagen_sorgen_zagen_bwv_12_i_sinfonia-59-88.mp3,6,-Weinen Klagen Sorgen Zagen BWV 12_ I Sinfonia-,American Bach Soloists,J.S. Bach - Cantatas Volume V,http://www.magnatune.com/artists/albums/abs-cantatasfive/,59,88,http://he3.magnatune.com/all/06--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20I%20Sinfonia--ABS.mp3
