,instrumental,singing
14,0.0,1.0
15,0.0,1.0
17,0.0,1.0
19,0.0,1.0
22,0.0,1.0
23,0.0,1.0
29,0.0,1.0
30,0.0,1.0
31,0.0,1.0
32,0.0,1.0
33,0.0,1.0
34,0.0,1.0
37,0.0,1.0
38,0.0,1.0
39,0.0,1.0
40,0.0,1.0
41,0.0,1.0
46,1.0,0.0
55,1.0,0.0
82,0.0,1.0
83,0.0,1.0
88,1.0,0.0
89,1.0,0.0
90,1.0,0.0
93,0.0,1.0
95,1.0,0.0
97,0.0,1.0
99,0.0,1.0
103,0.0,1.0
104,0.0,1.0
105,0.0,1.0
128,0.0,1.0
131,0.0,1.0
132,0.0,1.0
133,0.0,1.0
134,0.0,1.0
138,1.0,0.0
145,1.0,0.0
148,1.0,0.0
161,0.0,1.0
163,0.0,1.0
164,1.0,0.0
169,1.0,0.0
170,1.0,0.0
178,1.0,0.0
188,0.0,1.0
189,1.0,0.0
199,1.0,1.0
210,1.0,0.0
227,1.0,0.0
233,1.0,0.0
234,1.0,0.0
236,1.0,0.0
238,0.0,1.0
239,0.0,1.0
240,0.0,1.0
244,0.0,1.0
246,0.0,1.0
249,1.0,0.0
252,0.0,1.0
254,0.0,1.0
257,0.0,1.0
258,0.0,1.0
259,0.0,1.0
264,0.0,1.0
265,0.0,1.0
266,0.0,1.0
267,0.0,1.0
276,1.0,0.0
299,1.0,0.0
313,1.0,0.0
316,1.0,0.0
322,1.0,0.0
326,0.0,1.0
328,0.0,1.0
331,0.0,1.0
333,0.0,1.0
334,0.0,1.0
344,1.0,0.0
351,1.0,0.0
359,1.0,0.0
363,0.0,1.0
364,0.0,1.0
365,1.0,1.0
367,0.0,1.0
368,0.0,1.0
370,0.0,1.0
371,0.0,1.0
372,0.0,1.0
373,0.0,1.0
374,0.0,1.0
381,1.0,0.0
387,0.0,1.0
388,1.0,0.0
389,1.0,0.0
394,0.0,1.0
395,0.0,1.0
397,1.0,0.0
398,0.0,1.0
399,0.0,1.0
405,1.0,0.0
406,1.0,0.0
418,0.0,1.0
419,0.0,1.0
420,0.0,1.0
421,0.0,1.0
431,0.0,1.0
432,0.0,1.0
433,0.0,1.0
434,0.0,1.0
437,1.0,0.0
444,0.0,1.0
