,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
14,37,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/the_headroom_project-jetuton_andawai-01-linda_morena-59-88.mp3,1,Linda Morena,The Headroom Project,Jetuton Andawai,http://www.magnatune.com/artists/albums/headroom-jetuton/,59,88,http://he3.magnatune.com/all/01--Linda%20Morena--The%20Headroom%20Project.mp3
17,40,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-30-59.mp3,1,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,30,59,http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3
88,172,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/liquid_zen-magic_midsummer-01-4_oclock_sunny_and_hot-30-59.mp3,1,4 O'Clock Sunny And Hot,Liquid Zen,Magic Midsummer,http://www.magnatune.com/artists/albums/liquid-magic/,30,59,http://he3.magnatune.com/all/01-4%20O'Clock%20Sunny%20And%20Hot%20-%20Liquid%20Zen.mp3
103,198,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/mountain_mirrors-lunar_ecstasy-01-a_short_burst_of_clarity-30-59.mp3,1,A Short Burst of Clarity,Mountain Mirrors,Lunar Ecstasy,http://www.magnatune.com/artists/albums/mountain-lunar/,30,59,http://he3.magnatune.com/all/01-A%20Short%20Burst%20of%20Clarity-Mountain%20Mirrors.mp3
128,253,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-middle_age_suicide-01-all_i_got-30-59.mp3,1,All I Got,Rocket City Riot,Middle Age Suicide,http://www.magnatune.com/artists/albums/rocketcity-middle/,30,59,http://he3.magnatune.com/all/01-All%20I%20Got-Rocket%20City%20Riot.mp3
131,284,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/john_fleagle-worlds_bliss__medieval_songs_of_love_and_death-01-alysoun-30-59.mp3,1,Alysoun,John Fleagle,Worlds Bliss - Medieval Songs of Love and Death,http://www.magnatune.com/artists/albums/fleagle-bliss/,30,59,http://he3.magnatune.com/all/01-Alysoun-John%20Fleagle.mp3
161,349,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/justin_bianco-siren-01-another_century-30-59.mp3,1,Another Century,Justin Bianco,Siren,http://www.magnatune.com/artists/albums/bianco-siren/,30,59,http://he3.magnatune.com/all/01-Another%20Century-Justin%20Bianco.mp3
188,422,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/satori-journey_to_other_worlds-01-astral_flight-59-88.mp3,1,Astral Flight,Satori,Journey to Other Worlds,http://www.magnatune.com/artists/albums/satori-journey/,59,88,http://he3.magnatune.com/all/01-Astral%20Flight-Satori.mp3
238,512,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/burnshee_thornside-rock_this_moon-01-bad_bad_luck-30-59.mp3,1,Bad Bad Luck,Burnshee Thornside,Rock This Moon,http://www.magnatune.com/artists/albums/burnshee-moon/,30,59,http://he3.magnatune.com/all/01-Bad%20Bad%20Luck-Burnshee%20Thornside.mp3
252,541,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/the_marginal_prophets-bohemian_rap_cd-01-beatloaf-30-59.mp3,1,Beatloaf,The Marginal Prophets,Bohemian Rap CD,http://www.magnatune.com/artists/albums/marginal-bohemian/,30,59,http://he3.magnatune.com/all/01-Beatloaf-The%20Marginal%20Prophets.mp3
