,airy,calm,dark,deep,different,eerie,happy,light,loud,low,mellow,quiet,sad,scary,soft,strange
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
188,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
323,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
354,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
358,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
360,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
383,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
397,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
406,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
408,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
459,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
473,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
478,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
481,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
496,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
520,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
552,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
555,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
570,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
613,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
627,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
665,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
670,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
676,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
683,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
689,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
697,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
727,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
731,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
741,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
742,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
755,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
775,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
776,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
802,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
804,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
805,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
806,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
807,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
814,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
815,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
820,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
825,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
829,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
831,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
