,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
13708,30064,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/lvx_nova-lvx_nova-07-a_lake-59-88.mp3,7,-A Lake-,LVX Nova,LVX Nova,http://www.magnatune.com/artists/albums/lvxnova-lvxnova/,59,88,http://he3.magnatune.com/all/07--A%20Lake--LVX%20Nova.mp3
2697,5862,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/american_bach_soloists-j_s__bach_solo_cantatas-02-bwv54__ii_recitative-30-59.mp3,2,-BWV54 - II Recitative-,American Bach Soloists,J.S. Bach Solo Cantatas,http://www.magnatune.com/artists/albums/abs-solocantatas/,30,59,http://he3.magnatune.com/all/02--BWV54%20-%20II%20Recitative--ABS.mp3
17495,38362,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-09-die_today-88-117.mp3,9,-Die Today-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,88,117,http://he3.magnatune.com/all/09--Die%20Today--Rocket%20City%20Riot.mp3
20431,44901,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/the_headroom_project-jetuton_andawai-11-in_gaway-30-59.mp3,11,-In Gaway-,The Headroom Project,Jetuton Andawai,http://www.magnatune.com/artists/albums/headroom-jetuton/,30,59,http://he3.magnatune.com/all/11--In%20Gaway--The%20Headroom%20Project.mp3
7423,16246,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/the_headroom_project-jetuton_andawai-04-industrial_blues-30-59.mp3,4,-Industrial Blues-,The Headroom Project,Jetuton Andawai,http://www.magnatune.com/artists/albums/headroom-jetuton/,30,59,http://he3.magnatune.com/all/04--Industrial%20Blues--The%20Headroom%20Project.mp3
7430,16255,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-04-kleine_geistliche_konzerte_swv_283_bringt_her_dem_herren-30-59.mp3,4,-Kleine Geistliche Konzerte SWV 283_ Bringt her dem Herren-,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,30,59,http://he3.magnatune.com/all/04--Kleine%20Geistliche%20Konzerte%20SWV%20283_%20Bringt%20her%20dem%20Herren--ABS.mp3
13715,30080,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-07-kleine_geistliche_konzerte_swv_285_o_susser_o_freundlicher-30-59.mp3,7,-Kleine Geistliche Konzerte SWV 285_ O susser O freundlicher-,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,30,59,http://he3.magnatune.com/all/07--Kleine%20Geistliche%20Konzerte%20SWV%20285_%20O%20susser%20O%20freundlicher--ABS.mp3
24045,53426,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/american_bach_soloists-j_s__bach__cantatas_volume_v-16-nun_komm_der_heiden_heiland_bwv_61_iv_recitative__siehe_ich_stehe_vor_der_tur-30-59.mp3,16,-Nun komm der Heiden Heiland BWV 61_ IV Recitative - Siehe ich stehe vor der Tur-,American Bach Soloists,J.S. Bach - Cantatas Volume V,http://www.magnatune.com/artists/albums/abs-cantatasfive/,30,59,http://he3.magnatune.com/all/16--Nun%20komm%20der%20Heiden%20Heiland%20BWV%2061_%20IV%20Recitative%20-%20Siehe%20ich%20stehe%20vor%20der%20Tur--ABS.mp3
2718,5903,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-02-see_it_through-117-146.mp3,2,-See It Through-,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,117,146,http://he3.magnatune.com/all/02--See%20It%20Through--Rocket%20City%20Riot.mp3
9555,20953,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/philharmonia_baroque_orchestra-jake_heggie__to_hell_and_back-05-the_garden-30-59.mp3,5,-The Garden-,Philharmonia Baroque Orchestra,Jake Heggie - To Hell and Back,http://www.magnatune.com/artists/albums/pb-heggie/,30,59,http://he3.magnatune.com/all/05--The%20Garden--Philharmonia%20Baroque%20Orchestra.mp3
17512,38391,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/american_bach_soloists-j_s__bach__cantatas_volume_v-09-weinen_klagen_sorgen_zagen_bwv_12_iv_aria__kreuz_und_krone_sind_verbunden-59-88.mp3,9,-Weinen Klagen Sorgen Zagen BWV 12_ IV Aria - Kreuz und Krone sind verbunden-,American Bach Soloists,J.S. Bach - Cantatas Volume V,http://www.magnatune.com/artists/albums/abs-cantatasfive/,59,88,http://he3.magnatune.com/all/09--Weinen%20Klagen%20Sorgen%20Zagen%20BWV%2012_%20IV%20Aria%20-%20Kreuz%20und%20Krone%20sind%20verbunden--ABS.mp3
13738,30135,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/falling_you-touch-07-____a_cry_for_the_brokenhearted-88-117.mp3,7,... a cry for the broken-hearted,Falling You,Touch,http://www.magnatune.com/artists/albums/fallingyou-touch/,88,117,http://he3.magnatune.com/all/07-...%20a%20cry%20for%20the%20broken-hearted-Falling%20You.mp3
13745,30153,D:/Research/Data/MIR/MagnaTagATune/mp3_full/1/tanya_tomkins_and_eric_zivian-beethoven_piano_and_cello_works-07-11_bagatelles_for_solo_fortepiano_op__119_no__4-59-88.mp3,7,11 Bagatelles for Solo Fortepiano op. 119 no. 4,Tanya Tomkins and Eric Zivian,Beethoven Piano and Cello Works,http://www.magnatune.com/artists/albums/tomkins-beethoven/,59,88,http://he3.magnatune.com/all/07-11%20Bagatelles%20for%20Solo%20Fortepiano%20op.%20119%20no.%204-Tanya%20Tomkins%20and%20Eric%20Zivian.mp3
2720,5916,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/trip_wamsley-its_better_this_way-02-20_years_too_late-88-117.mp3,2,20 Years Too Late,Trip Wamsley,Its Better This Way,http://www.magnatune.com/artists/albums/wamsley-itsbetter/,88,117,http://he3.magnatune.com/all/02-20%20Years%20Too%20Late-Trip%20Wamsley.mp3
