,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
15066,32957,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-07-reckless_woman_blues-117-146.mp3,7,Reckless Woman Blues,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,117,146,http://he3.magnatune.com/all/07-Reckless%20Woman%20Blues-Jag.mp3
5256,11455,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-four_strings-03-all_worn_out-30-59.mp3,3,All Worn Out,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,30,59,http://he3.magnatune.com/all/03-All%20Worn%20Out-Jag.mp3
23603,52328,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-four_strings-14-youre_cheatin_on_me-88-117.mp3,14,You're Cheatin' On Me,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,88,117,http://he3.magnatune.com/all/14-You're%20Cheatin'%20On%20Me-Jag.mp3
24083,53525,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-16-baby_dont_say_that-88-117.mp3,16,Baby Don't Say That,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,88,117,http://he3.magnatune.com/all/16-Baby%20Don't%20Say%20That-Jag.mp3
20833,45825,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/burnshee_thornside-the_art_of_not_blending_in-11-how_the_story_goes-146-175.mp3,11,How the story goes,Burnshee Thornside,The Art of Not Blending In,http://www.magnatune.com/artists/albums/burnshee-art/,146,175,http://he3.magnatune.com/all/11-How%20the%20story%20goes-Burnshee%20Thornside.mp3
14015,30821,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/burnshee_thornside-blues_and_misc-07-city_girls-146-175.mp3,7,City Girls,Burnshee Thornside,Blues and misc,http://www.magnatune.com/artists/albums/burnshee-blues/,146,175,http://he3.magnatune.com/all/07-City%20Girls-Burnshee%20Thornside.mp3
13354,29272,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-06-south_austin_blues-146-175.mp3,6,South Austin Blues,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,146,175,http://he3.magnatune.com/all/06-South%20Austin%20Blues-Jag.mp3
2484,5399,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-01-train_train-146-175.mp3,1,Train Train,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,146,175,http://he3.magnatune.com/all/01-Train%20Train-Jag.mp3
17984,39429,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-pretty_girl_blues-09-hoboin-88-117.mp3,9,Hoboin',Jag,Pretty Girl Blues,http://www.magnatune.com/artists/albums/jag-prettygirl/,88,117,http://he3.magnatune.com/all/09-Hoboin'-Jag.mp3
2226,4869,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-01-steam_train-59-88.mp3,1,Steam Train,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,59,88,http://he3.magnatune.com/all/01-Steam%20Train-John%20Williams.mp3
19499,42856,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/tom_paul-there_is_no_map-10-guess_i_didnt_try-146-175.mp3,10,Guess I didn't try,Tom Paul,There is no map,http://www.magnatune.com/artists/albums/tompaul-nomap/,146,175,http://he3.magnatune.com/all/10-Guess%20I%20didn't%20try-Tom%20Paul.mp3
24374,54355,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-17-dog_leg-88-117.mp3,17,Dog Leg,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,88,117,http://he3.magnatune.com/all/17-Dog%20Leg-John%20Williams.mp3
5396,11764,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/magnatune_compilation-rock-03-barbara_leoni_dont_rain_on_my_parade-88-117.mp3,3,Barbara Leoni_ Don't Rain on my Parade,Magnatune Compilation,Rock,http://www.magnatune.com/artists/albums/magnacomp-rock/,88,117,http://he3.magnatune.com/all/03-Barbara%20Leoni_%20Don't%20Rain%20on%20my%20Parade-Magnatune%20Compilation.mp3
12902,28301,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-06-old_man_rocking_chair-59-88.mp3,6,Old Man Rocking Chair,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,59,88,http://he3.magnatune.com/all/06-Old%20Man%20Rocking%20Chair-John%20Williams.mp3
3703,8162,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/jag-juke_joint_boogie-02-lay_down_your_plow-88-117.mp3,2,Lay Down Your Plow,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,88,117,http://he3.magnatune.com/all/02-Lay%20Down%20Your%20Plow-Jag.mp3
23711,52571,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-15-cypress_boogie-0-29.mp3,15,Cypress Boogie,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,0,29,http://he3.magnatune.com/all/15-Cypress%20Boogie-Jag.mp3
5358,11684,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-03-aunt_louise-146-175.mp3,3,Aunt Louise,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,146,175,http://he3.magnatune.com/all/03-Aunt%20Louise-John%20Williams.mp3
21762,47799,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/john_williams-dusty_porch-12-country_kitchen-0-29.mp3,12,Country Kitchen,John Williams,Dusty Porch,http://www.magnatune.com/artists/albums/williams-dusty/,0,29,http://he3.magnatune.com/all/12-Country%20Kitchen-John%20Williams.mp3
11168,24535,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/william_brooks-fowl_mouth-05-so_much_to_do-146-175.mp3,5,So Much To Do,William Brooks,Fowl Mouth,http://www.magnatune.com/artists/albums/wbrooks-fowl/,146,175,http://he3.magnatune.com/all/05-So%20Much%20To%20Do-William%20Brooks.mp3
12849,28195,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/john_williams-long_ride_home-06-nothing_lost-59-88.mp3,6,Nothing Lost,John Williams,Long Ride Home,http://www.magnatune.com/artists/albums/williams-long/,59,88,http://he3.magnatune.com/all/06-Nothing%20Lost-John%20Williams.mp3
24874,55772,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-four_strings-19-helena_street_corner_blues-30-59.mp3,19,Helena Street Corner Blues,Jag,Four Strings,http://www.magnatune.com/artists/albums/jag-four/,30,59,http://he3.magnatune.com/all/19-Helena%20Street%20Corner%20Blues-Jag.mp3
20889,45944,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-pretty_girl_blues-11-jags_rag-117-146.mp3,11,Jag's Rag,Jag,Pretty Girl Blues,http://www.magnatune.com/artists/albums/jag-prettygirl/,117,146,http://he3.magnatune.com/all/11-Jag's%20Rag-Jag.mp3
22120,48607,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/jag-juke_joint_boogie-12-pearline-117-146.mp3,12,Pearline,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,117,146,http://he3.magnatune.com/all/12-Pearline-Jag.mp3
784,1848,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/burnshee_thornside-blues_and_misc-01-happy_blues-0-29.mp3,1,Happy Blues,Burnshee Thornside,Blues and misc,http://www.magnatune.com/artists/albums/burnshee-blues/,0,29,http://he3.magnatune.com/all/01-Happy%20Blues-Burnshee%20Thornside.mp3
8145,17903,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-04-guitar_rag-175-204.mp3,4,Guitar Rag,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,175,204,http://he3.magnatune.com/all/04-Guitar%20Rag-Jag.mp3
24646,55112,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/john_williams-long_ride_home-18-dog_dont_hunt-59-88.mp3,18,Dog Don't Hunt,John Williams,Long Ride Home,http://www.magnatune.com/artists/albums/williams-long/,59,88,http://he3.magnatune.com/all/18-Dog%20Don't%20Hunt-John%20Williams.mp3
3701,8160,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/jag-juke_joint_boogie-02-lay_down_your_plow-30-59.mp3,2,Lay Down Your Plow,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,30,59,http://he3.magnatune.com/all/02-Lay%20Down%20Your%20Plow-Jag.mp3
24082,53523,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/jag-cypress_grove_blues-16-baby_dont_say_that-30-59.mp3,16,Baby Don't Say That,Jag,Cypress Grove Blues,http://www.magnatune.com/artists/albums/jag-cypress/,30,59,http://he3.magnatune.com/all/16-Baby%20Don't%20Say%20That-Jag.mp3
23884,53035,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/jag-pretty_girl_blues-15-pretty_girl_blues-0-29.mp3,15,Pretty Girl Blues,Jag,Pretty Girl Blues,http://www.magnatune.com/artists/albums/jag-prettygirl/,0,29,http://he3.magnatune.com/all/15-Pretty%20Girl%20Blues-Jag.mp3
11919,26184,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/jag-juke_joint_boogie-06-boogie_in_e-0-29.mp3,6,Boogie In E,Jag,Juke Joint Boogie,http://www.magnatune.com/artists/albums/jag-juke/,0,29,http://he3.magnatune.com/all/06-Boogie%20In%20E-Jag.mp3
21524,47311,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/jacob_heringman-black_cow-11-waissel_polish_dance-0-29.mp3,11,Waissel_ polish dance,Jacob Heringman,Black Cow,http://www.magnatune.com/artists/albums/heringman-blackcow/,0,29,http://he3.magnatune.com/all/11-Waissel_%20polish%20dance-Jacob%20Heringman.mp3
25053,56338,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/daniel_ben_pienaar-book_2_cd2_welltempered_clavier-20-prelude_and_fugue_no__22_in_bflat_minor_bwv_891_fuga-88-117.mp3,20,Prelude And Fugue No. 22 In B-Flat Minor BWV 891_ Fuga,Daniel Ben Pienaar,Book 2 CD2 Well-Tempered Clavier,http://www.magnatune.com/artists/albums/dbp-wtc2b/,88,117,http://he3.magnatune.com/all/20-Prelude%20And%20Fugue%20No.%2022%20In%20B-Flat%20Minor%20BWV%20891_%20Fuga-Daniel%20Ben%20Pienaar.mp3
25857,58898,D:/Research/Data/MIR/MagnaTagATune/mp3_full/8/jacob_heringman-blame_not_my_lute-56-la_bressanina-59-88.mp3,56,La Bressanina,Jacob Heringman,Blame Not My Lute,http://www.magnatune.com/artists/albums/heringman-blamenot/,59,88,http://he3.magnatune.com/all/56-La%20Bressanina-Jacob%20Heringman.mp3
23519,52098,D:/Research/Data/MIR/MagnaTagATune/mp3_full/1/vito_paternoster-cd1bach_cello_suites-14-suite_vi_in_re_magiore__allemande-262-291.mp3,14,Suite VI in Re magiore - allemande,Vito Paternoster,CD1-Bach Cello Suites,http://www.magnatune.com/artists/albums/paternoster-cellosuites1/,262,291,http://he3.magnatune.com/all/14-Suite%20VI%20in%20Re%20magiore%20-%20allemande-Vito%20Paternoster.mp3
8319,18256,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/dj_cary-eastern_grooves-04-kereshmestellamara-436-465.mp3,4,Kereshme-Stellamara,DJ Cary,Eastern Grooves,http://www.magnatune.com/artists/albums/magnacomp-eastgroove/,436,465,http://he3.magnatune.com/all/04-Kereshme-Stellamara-DJ%20Cary.mp3
1470,3150,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/philharmonia_baroque-mozart_orchestral_works-01-overture_to_the_abduction_from_the_seraglio-233-262.mp3,1,Overture to The Abduction from the Seraglio,Philharmonia Baroque,Mozart Orchestral Works,http://www.magnatune.com/artists/albums/pb-mozart/,233,262,http://he3.magnatune.com/all/01-Overture%20to%20The%20Abduction%20from%20the%20Seraglio-Philharmonia%20Baroque.mp3
21261,46678,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/paul_beier-simone_molinaro-11-rossingnolet__canzone_francese_a_quattro_di_thomas_crequillon-59-88.mp3,11,Rossingnolet - Canzone Francese a quattro di Thomas Crequillon,Paul Beier,Simone Molinaro,http://www.magnatune.com/artists/albums/beier-molinaro/,59,88,http://he3.magnatune.com/all/11-Rossingnolet%20-%20Canzone%20Francese%20a%20quattro%20di%20Thomas%20Crequillon-Paul%20Beier.mp3
16676,36631,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/rob_costlow-sophomore_jinx-08-oceans-175-204.mp3,8,Oceans,Rob Costlow,Sophomore Jinx,http://www.magnatune.com/artists/albums/costlow-sophomore/,175,204,http://he3.magnatune.com/all/08-Oceans%20-%20Rob%20Costlow.mp3
5386,11740,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/voices_of_music-an_evening_with_bach-03-badinerie_bwv_1067-30-59.mp3,3,Badinerie (BWV 1067),Voices of Music,An Evening With Bach,http://www.magnatune.com/artists/albums/voicesofmusic-bach/,30,59,http://he3.magnatune.com/all/03-Badinerie%20(BWV%201067)-Voices%20of%20Music.mp3
23804,52834,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/sarasa_ensemble_labelle_sylvan-bach_cantatas-15-liebster_jesu_mein_veriangen_aria-262-291.mp3,15,Liebster Jesu mein Veriangen Aria,Sarasa Ensemble Labelle Sylvan,Bach Cantatas,http://www.magnatune.com/artists/albums/sarasa-bach/,262,291,http://he3.magnatune.com/all/15-Liebster%20Jesu%20mein%20Veriangen%20Aria-Sarasa%20Ensemble%20Labelle%20Sylvan.mp3
4979,10903,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/paul_beier-simone_molinaro-02-ung_gaij_bergier__canzone_francese_a_quattro_di_thomas_crequillon-233-262.mp3,2,Ung gaij bergier - Canzone Francese a quattro di Thomas Crequillon,Paul Beier,Simone Molinaro,http://www.magnatune.com/artists/albums/beier-molinaro/,233,262,http://he3.magnatune.com/all/02-Ung%20gaij%20bergier%20-%20Canzone%20Francese%20a%20quattro%20di%20Thomas%20Crequillon-Paul%20Beier.mp3
5519,12026,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/dac_crowell-within_this_space-03-cantillation-465-494.mp3,3,Cantillation,DAC Crowell,Within This Space,http://www.magnatune.com/artists/albums/dac-within/,465,494,http://he3.magnatune.com/all/03-Cantillation-DAC%20Crowell.mp3
12314,27075,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ed_martin-luis_milan__el_maestro-06-fantasia_6-30-59.mp3,6,Fantasia 6,Ed Martin,Luis Milan - El Maestro,http://www.magnatune.com/artists/albums/martin-luismilan/,30,59,http://he3.magnatune.com/all/06-Fantasia%206-Ed%20Martin.mp3
1485,3171,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/music_of_the_spheres-the_fantastics-01-pandolfi_la_berbabea_op_4_no_1_1660-0-29.mp3,1,Pandolfi La Berbabea Op 4 No.1 (1660),Music of the Spheres,The Fantastics,http://www.magnatune.com/artists/albums/spheres-fantastics/,0,29,http://he3.magnatune.com/all/01-Pandolfi%20La%20Berbabea%20Op%204%20No.1%20(1660)-Music%20of%20the%20Spheres.mp3
11076,24347,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/oberlin_consort_of_viols-5_and_6_part_fantasies_of_william_lawes-05-set_a_5_in_c_minor-30-59.mp3,5,Set a 5 in C Minor,Oberlin Consort of Viols,5 and 6 part Fantasies of William Lawes,http://www.magnatune.com/artists/albums/oberlin-lawes/,30,59,http://he3.magnatune.com/all/05-Set%20a%205%20in%20C%20Minor-Oberlin%20Consort%20of%20Viols.mp3
18321,40186,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/janine_johnson-chopin_recital-09-nocturne_op_32_no_1_in_b_major-117-146.mp3,9,Nocturne Op.32 No.1 in B major,Janine Johnson,Chopin Recital,http://www.magnatune.com/artists/albums/jjohnson-chopin/,117,146,http://he3.magnatune.com/all/09-Nocturne%20Op.32%20No.1%20in%20B%20major-Janine%20Johnson.mp3
5813,12758,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/philharmonia_baroque-rameau_and_leclair-03-entree_tres_gaye_des_troubadours__air_tres_gay__gavotte__menuet_rameau_les_paladins-30-59.mp3,3,Entree tres gaye des Troubadours _ Air tres gay _ Gavotte _ Menuet (Rameau_ Les Paladins),Philharmonia Baroque,Rameau and Leclair,http://www.magnatune.com/artists/albums/pb-rameau-leclair/,30,59,http://he3.magnatune.com/all/03-Entree%20tres%20gaye%20des%20Troubadours%20_%20Air%20tres%20gay%20_%20Gavotte%20_%20Menuet%20(Rameau_%20Les%20Paladins)-Philharmonia%20Baroque.mp3
7062,15404,D:/Research/Data/MIR/MagnaTagATune/mp3_full/3/les_filles_de_sainte_colombe-german_music_for_viols_and_harpsichord-03-suite_in_d_minor_farina-436-465.mp3,3,Suite in D minor (Farina),Les Filles de Sainte Colombe,German music for Viols and Harpsichord,http://www.magnatune.com/artists/albums/filles-german/,436,465,http://he3.magnatune.com/all/03-Suite%20in%20D%20minor%20(Farina)-Les%20Filles%20de%20Sainte%20Colombe.mp3
15101,33017,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_baroque-dances_and_suites_of_rameau_and_couperin-07-ritournelle_suite_from_les_fetes_dhebe_rameau-30-59.mp3,7,Ritournelle Suite from Les Fetes D'Hebe (Rameau),American Baroque,Dances and Suites of Rameau and Couperin,http://www.magnatune.com/artists/albums/abaroque-rameau/,30,59,http://he3.magnatune.com/all/07-Ritournelle%20Suite%20from%20Les%20Fetes%20D'Hebe%20(Rameau)-American%20Baroque.mp3
2511,5446,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/dac_crowell-redshifted_harmonies-01-tranquilitatis-1306-1335.mp3,1,Tranquilitatis,DAC Crowell,Red-shifted Harmonies,http://www.magnatune.com/artists/albums/dac-red/,1306,1335,http://he3.magnatune.com/all/01-Tranquilitatis-DAC%20Crowell.mp3
25643,58124,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/ensemble_mirable-triemer_six_cello_sonatas-26-sonata_6_allegro_assai-88-117.mp3,26,Sonata 6 (Allegro assai),Ensemble Mirable,Triemer Six Cello Sonatas,http://www.magnatune.com/artists/albums/mirable-triemer/,88,117,http://he3.magnatune.com/all/26-Sonata%206%20(Allegro%20assai)-Ensemble%20Mirable.mp3
12492,27403,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/stellamara-star_of_the_sea-06-immrama-30-59.mp3,6,Immrama,Stellamara,Star Of The Sea,http://www.magnatune.com/artists/albums/stellamara-starsea/,30,59,http://he3.magnatune.com/all/06-Immrama-Stellamara.mp3
10850,23853,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/vito_paternoster-cd1bach_sonatas_and_partitas_for_solo_violin-05-partita_prima_in_mi_minore__allemanda-88-117.mp3,5,Partita Prima in mi minore - Allemanda,Vito Paternoster,CD1-Bach Sonatas and Partitas for solo violin,http://www.magnatune.com/artists/albums/paternoster-sonatas1/,88,117,http://he3.magnatune.com/all/05-Partita%20Prima%20in%20mi%20minore%20-%20Allemanda-Vito%20Paternoster.mp3
8341,18293,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/duo_chambure-vihuela_duets_of_valderrabano-04-la_primera_parte_de_la_credo_missa_beata_virgine_josquin_dez_prez-175-204.mp3,4,La Primera parte de la Credo (Missa Beata Virgine) (Josquin dez Prez),Duo Chambure,Vihuela Duets of Valderrabano,http://www.magnatune.com/artists/albums/chambure-valderrabano/,175,204,http://he3.magnatune.com/all/04-La%20Primera%20parte%20de%20la%20Credo%20(Missa%20Beata%20Virgine)%20(Josquin%20dez%20Prez)-Duo%20Chambure.mp3
23186,51232,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/janine_johnson-german_keyboard_masters-14-ciacona_in_d_pachelbel-204-233.mp3,14,Ciacona in D (Pachelbel),Janine Johnson,German Keyboard Masters,http://www.magnatune.com/artists/albums/jjohnson-german/,204,233,http://he3.magnatune.com/all/14-Ciacona%20in%20D%20(Pachelbel)-Janine%20Johnson.mp3
