,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
29,66,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-784-813.mp3,1,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,784,813,http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3
43,90,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-59-88.mp3,1,My mistress hath a pritty thing (Tobias Hume),Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,59,88,http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3
44,91,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-88-117.mp3,1,My mistress hath a pritty thing (Tobias Hume),Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,88,117,http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3
46,94,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-175-204.mp3,1,My mistress hath a pritty thing (Tobias Hume),Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,175,204,http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3
51,105,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/rocket_city_riot-last_of_the_pleasure_seekers-01-under_the_bright_lights-146-175.mp3,1,Under The Bright Lights,Rocket City Riot,Last Of The Pleasure Seekers,http://www.magnatune.com/artists/albums/rocketcity-pleasure/,146,175,http://he3.magnatune.com/all/01--Under%20The%20Bright%20Lights--Rocket%20City%20Riot.mp3
59,123,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/tilopa-turkishauch-01-1x3-233-262.mp3,1,1x3,Tilopa,Turkishauch,http://www.magnatune.com/artists/albums/tilopa-turkishauch/,233,262,http://he3.magnatune.com/all/01-1x3-Tilopa.mp3
79,157,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-581-610.mp3,1,3 Almaines (Holborne),New York Consort of Viols,Dances and Canzonas of Holborne and Brade,http://www.magnatune.com/artists/albums/nyconsort-holborne/,581,610,http://he3.magnatune.com/all/01-3%20Almaines%20(Holborne)-New%20York%20Consort%20of%20Viols.mp3
93,178,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/burning_babylon-stereo_mash_up-01-7_nine_skank-88-117.mp3,1,7 Nine Skank,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,88,117,http://he3.magnatune.com/all/01-7%20Nine%20Skank-Burning%20Babylon.mp3
105,200,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/mountain_mirrors-lunar_ecstasy-01-a_short_burst_of_clarity-88-117.mp3,1,A Short Burst of Clarity,Mountain Mirrors,Lunar Ecstasy,http://www.magnatune.com/artists/albums/mountain-lunar/,88,117,http://he3.magnatune.com/all/01-A%20Short%20Burst%20of%20Clarity-Mountain%20Mirrors.mp3
107,204,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/professor_armchair-too_much_mustard-01-a_signal_from_mars-0-29.mp3,1,A Signal from Mars,Professor Armchair,Too Much Mustard,http://www.magnatune.com/artists/albums/armchair-octopants/,0,29,http://he3.magnatune.com/all/01-A%20Signal%20from%20Mars-Professor%20Armchair.mp3
