,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
34,76,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1074-1103.mp3,1,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,1074,1103,http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3
46,94,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-175-204.mp3,1,My mistress hath a pritty thing (Tobias Hume),Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,175,204,http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3
66,134,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/williamson-a_few_things_to_hear_before_we_all_blow_up-01-2_percent_er-117-146.mp3,1,2 percent er,Williamson,A few things to hear before we all blow up,http://www.magnatune.com/artists/albums/williamson-afew/,117,146,http://he3.magnatune.com/all/01-2%20percent%20er-Williamson.mp3
76,151,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-407-436.mp3,1,3 Almaines (Holborne),New York Consort of Viols,Dances and Canzonas of Holborne and Brade,http://www.magnatune.com/artists/albums/nyconsort-holborne/,407,436,http://he3.magnatune.com/all/01-3%20Almaines%20(Holborne)-New%20York%20Consort%20of%20Viols.mp3
86,170,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/mercy_machine-the_devil_i_know-01-30_years-262-291.mp3,1,30 Years,Mercy Machine,The Devil I Know,http://www.magnatune.com/artists/albums/mercy-devil/,262,291,http://he3.magnatune.com/all/01-30%20Years-Mercy%20Machine.mp3
92,177,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/burning_babylon-stereo_mash_up-01-7_nine_skank-59-88.mp3,1,7 Nine Skank,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,59,88,http://he3.magnatune.com/all/01-7%20Nine%20Skank-Burning%20Babylon.mp3
95,181,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/burning_babylon-stereo_mash_up-01-7_nine_skank-175-204.mp3,1,7 Nine Skank,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,175,204,http://he3.magnatune.com/all/01-7%20Nine%20Skank-Burning%20Babylon.mp3
107,204,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/professor_armchair-too_much_mustard-01-a_signal_from_mars-0-29.mp3,1,A Signal from Mars,Professor Armchair,Too Much Mustard,http://www.magnatune.com/artists/albums/armchair-octopants/,0,29,http://he3.magnatune.com/all/01-A%20Signal%20from%20Mars-Professor%20Armchair.mp3
156,329,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/duo_chambure-vihuela_duets_of_valderrabano-01-andreas_christi_sancte_andrea_cristobal_de_morales-88-117.mp3,1,Andreas Christi Sancte Andrea (Cristobal de Morales),Duo Chambure,Vihuela Duets of Valderrabano,http://www.magnatune.com/artists/albums/chambure-valderrabano/,88,117,http://he3.magnatune.com/all/01-Andreas%20Christi%20Sancte%20Andrea%20(Cristobal%20de%20Morales)-Duo%20Chambure.mp3
157,333,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/paul_avgerinos-sky_of_grace-01-angels_breath-59-88.mp3,1,Angel's Breath,Paul Avgerinos,Sky Of Grace,http://www.magnatune.com/artists/albums/avgerinos-skygrace/,59,88,http://he3.magnatune.com/all/01-Angel's%20Breath-Paul%20Avgerinos.mp3
