,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
19200,42150,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/professor_armchair-too_much_mustard-10-bethena-117-146.mp3,10,Bethena,Professor Armchair,Too Much Mustard,http://www.magnatune.com/artists/albums/armchair-octopants/,117,146,http://he3.magnatune.com/all/10-Bethena-Professor%20Armchair.mp3
7745,16994,D:/Research/Data/MIR/MagnaTagATune/mp3_full/c/liquid_zen-seventythree-04-close-262-291.mp3,4,Close,Liquid Zen,Seventythree,http://www.magnatune.com/artists/albums/liquid-seventythree/,262,291,http://he3.magnatune.com/all/04-Close%20-%20Liquid%20Zen.mp3
25416,57455,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/doc_rossi-demarzi6_sonatas_for_cetra_o_kitara-23-sonata_vi_allegro-59-88.mp3,23,Sonata VI Allegro,Doc Rossi,Demarzi-6 Sonatas for Cetra o Kitara,http://www.magnatune.com/artists/albums/rossi-demarzi/,59,88,http://he3.magnatune.com/all/23-Sonata%20VI%20Allegro-Doc%20Rossi.mp3
613,1473,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/philharmonia_baroque-beethoven_symphonies_no_3_eroica_and_no_8-01-eroica_1st-117-146.mp3,1,Eroica 1st,Philharmonia Baroque,Beethoven Symphonies No 3 Eroica and No 8,http://www.magnatune.com/artists/albums/pb-eroica/,117,146,http://he3.magnatune.com/all/01-Eroica%201st-Philharmonia%20Baroque.mp3
15095,33011,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/barbara_leoni-human_needs-07-ring_around_the_rosey-88-117.mp3,7,Ring around the rosey,Barbara Leoni,Human Needs,http://www.magnatune.com/artists/albums/leoni-human/,88,117,http://he3.magnatune.com/all/07-Ring%20around%20the%20rosey-Barbara%20Leoni.mp3
9455,20753,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/drop_trio-big_dipper-04-wallawalla-146-175.mp3,4,Wallawalla,Drop Trio,Big Dipper,http://www.magnatune.com/artists/albums/droptrio-bigdipper/,146,175,http://he3.magnatune.com/all/04-Wallawalla-Drop%20Trio.mp3
3735,8231,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/aba_structure-epic-02-luna_dub-88-117.mp3,2,Luna Dub,ABA STRUCTURE,EPIC,http://www.magnatune.com/artists/albums/kenji-epic/,88,117,http://he3.magnatune.com/all/02-Luna%20Dub-ABA%20STRUCTURE.mp3
17230,37831,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/memories_of_tomorrow-waiting_for_dawn-08-the_games_you_play_trance_mix-0-29.mp3,8,The games you play (Trance mix),Memories of Tomorrow,Waiting for Dawn,http://www.magnatune.com/artists/albums/mot-waiting/,0,29,http://he3.magnatune.com/all/08-The%20games%20you%20play%20(Trance%20mix)-Memories%20of%20Tomorrow.mp3
1274,2756,D:/Research/Data/MIR/MagnaTagATune/mp3_full/7/rob_costlow-woods_of_chaos-01-meant_to_be-146-175.mp3,1,Meant to Be,Rob Costlow,Woods of Chaos,http://www.magnatune.com/artists/albums/costlow-woods/,146,175,http://he3.magnatune.com/all/01-Meant%20to%20Be-Rob%20Costlow.mp3
25131,56580,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/ensemble_vermillian-stolen_jewels-21-buxtehude_sonata_iii_op__i_prestoadagio-30-59.mp3,21,Buxtehude Sonata III Op. I Presto-Adagio,Ensemble Vermillian,Stolen Jewels,http://www.magnatune.com/artists/albums/vermillian-stolen/,30,59,http://he3.magnatune.com/all/21-Buxtehude%20Sonata%20III%20Op.%20I%20Presto-Adagio-Ensemble%20Vermillian.mp3
